BROKERTITLE;TYPE;PRICE;BEDS;BATH;PROPERTYSQFT;ADDRESS;STATE;MAIN_ADDRESS;ADMINISTRATIVE_AREA_LEVEL_2;LOCALITY;SUBLOCALITY;STREET_NAME;LONG_NAME;FORMATTED_ADDRESS;LATITUDE;LONGITUDE
Brokered by Howard Hanna Coach Realtors - Floral Park;Co-op for sale;270000;1;1.0;2184.207862;18-75 Corporal Kennedy St Unit 5J;Bayside, NY 11360;18-75 Corporal Kennedy St Unit 5JBayside, NY 11360;New York;Queens County;Queens;Bayside;18-75;18-75 Corporal Kennedy St #5j, Bayside, NY 11360, USA;40.779366;-73.7827644
Brokered by Winzone Realty Inc;House for sale;998000;4;2.0;2184.207862;214-39 45th Dr;Bayside, NY 11361;214-39 45th DrBayside, NY 11361;United States;New York;Queens County;Queens;45th Drive;214-39 45th Dr, Flushing, NY 11361, USA;40.7593442;-73.7673557
Brokered by B Square Realty;Multi-family home for sale;1150000;12;6.0;4125.0;254 Jefferson St;Brooklyn, NY 11237;254 Jefferson StBrooklyn, NY 11237;United States;New York;Kings County;Brooklyn;Jefferson Street;254 Jefferson St, Brooklyn, NY 11237, USA;40.702987;-73.9273005
Brokered by RE MAX Edge;House for sale;799999;5;4.0;2288.0;57 Middle Loop Rd;Staten Island, NY 10308;57 Middle Loop RdStaten Island, NY 10308;United States;New York;Richmond County;Staten Island;Middle Loop Road;57 Middle Loop Rd, Staten Island, NY 10308, USA;40.5546818;-74.1625533
Brokered by Douglas Elliman - 1995 Broadway;Co-op for sale;395000;3;1.0;2184.207862;69 W 9th St Apt 4C;New York, NY 10011;69 W 9th St Apt 4CNew York, NY 10011;New York;New York County;New York;Manhattan;69;69 W 9th St #4c, New York, NY 10011, USA;40.734266;-73.9987024
Brokered by The Agency;Condo for sale;2800000;2;2.0;1188.0;15 W 96th St Unit 14B;New York, NY 10025;15 W 96th St Unit 14BNew York, NY 10025;New York;New York County;New York;Manhattan;15;15 W 96th St #14b, New York, NY 10025, USA;40.792204;-73.9655642
Brokered by Keller Williams Rlty Landmark;Co-op for sale;329888;3;1.0;2184.207862;210-15 23 Ave Unit 1;Bayside, NY 11360;210-15 23 Ave Unit 1Bayside, NY 11360;New York;Queens County;Queens;Bayside;21015;21015 23rd Ave Apt 1b, Bayside, NY 11360, USA;40.7790999;-73.78125
Brokered by Piastro Realty LLC;Co-op for sale;311000;1;1.0;780.0;40 Brighton 1 Rd Unit 6B;Brooklyn, NY 11235;40 Brighton 1 Rd Unit 6BBrooklyn, NY 11235;New York;Kings County;Brooklyn;Brighton Beach;40;40 Brighton 1st Rd #6b, Brooklyn, NY 11235, USA;40.5756277;-73.9667833
Brokered by Corcoran Park Slope;Condo for sale;649000;3;2.0;804.0;326 Melrose St Apt 1A;Brooklyn, NY 11237;326 Melrose St Apt 1ABrooklyn, NY 11237;New York;Kings County;Brooklyn;Bushwick;326;326 Melrose St #1a, Brooklyn, NY 11237, USA;40.7031635;-73.9282437
Brokered by RE MAX Distinguished Homes & Properties;Co-op for sale;159000;1;1.0;800.0;2630 Kingsbridge Ter Apt 7Y;Bronx, NY 10463;2630 Kingsbridge Ter Apt 7YBronx, NY 10463;New York;Bronx County;The Bronx;Fordham Manor;2630;2630 Kingsbridge Terrace #7b, Bronx, NY 10463, USA;40.8697508;-73.905391
Brokered by RE MAX Edge;House for sale;1148000;3;2.0;1890.0;334 100th St;Brooklyn, NY 11209;334 100th StBrooklyn, NY 11209;United States;New York;Kings County;Brooklyn;100th Street;334 100th St, Brooklyn, NY 11209, USA;40.6130693;-74.0344829
Brokered by Desimone Real Estate;Co-op for sale;669000;3;2.0;1480.0;3901 Nostrand Ave Apt 6P;Brooklyn, NY 11235;3901 Nostrand Ave Apt 6PBrooklyn, NY 11235;United States;New York;Kings County;Brooklyn;Nostrand Avenue;3901 Nostrand Ave., Brooklyn, NY 11235, USA;40.5894827;-73.9395372
Brokered by Hometown Properties;Co-op for sale;305000;1;1.0;750.0;7259 Shore Rd Apt 3G;Brooklyn, NY 11209;7259 Shore Rd Apt 3GBrooklyn, NY 11209;New York;Kings County;Brooklyn;Bay Ridge;7259;7259 Shore Rd #3g, Brooklyn, NY 11209, USA;40.6347271;-74.036817
Brokered by Compass Greater NY LLC;Co-op for sale;599000;3;2.0;2184.207862;18-15 215 St Unit 2D;Bayside, NY 11360;18-15 215 St Unit 2DBayside, NY 11360;New York;Queens County;Queens;Bayside;1815;1815 215th St Apt 2m, Bayside, NY 11360, USA;;
Brokered by COMPASS;House for sale;1375000;3;2.0;1960.0;417 17th St;Brooklyn, NY 11215;417 17th StBrooklyn, NY 11215;United States;New York;Kings County;Brooklyn;17th Street;417 17th St, Brooklyn, NY 11215, USA;40.6600309;-73.9848315
Brokered by Berkshire Hathaway HomeServices New York Properties - Eastchester;Co-op for sale;339000;2;2.0;906.0;86C Edgewater Park Unit C;Bronx, NY 10465;86C Edgewater Park Unit CBronx, NY 10465;United States;New York;Bronx County;The Bronx;Edgewater Park;86 Edgewater Park, Bronx, NY 10465, USA;40.8224723;-73.81106
Brokered by Brown Harris Stevens;Condo for sale;849500;2;2.0;975.0;161 E 110th St Apt 7A;Manhattan, NY 10029;161 E 110th St Apt 7AManhattan, NY 10029;;New York County;New York;Manhattan;161-169;161-169 E 110th St # 7e, New York, NY 10029, USA;40.7946402;-73.9434163
Brokered by Robert Defalco Realty, Inc.;Contingent;379000;4;1.0;1200.0;20 Bay St Lndg Unit 3J;Staten Island, NY 10301;20 Bay St Lndg Unit 3JStaten Island, NY 10301;New York;Richmond County;Staten Island;Mid Island;20;20 Bay Street Landing #3j, Staten Island, NY 10301, USA;40.6384907;-74.0740254
Brokered by Chase Global Realty Corp;Condo for sale;699000;2;2.0;967.0;31-38 137 St Unit 8A;Flushing, NY 11354;31-38 137 St Unit 8AFlushing, NY 11354;New York;Queens County;Queens;Flushing;31-38;31-38 137th St #8c, Flushing, NY 11354, USA;40.7684458;-73.8313888
Brokered by Brown Harris Stevens;Co-op for sale;565000;1;1.0;2184.207862;107 W 70th St Apt 4F;Manhattan, NY 10023;107 W 70th St Apt 4FManhattan, NY 10023;New York;New York County;New York;Manhattan;107;107 W 70th St #4f, New York, NY 10023, USA;40.776443;-73.979985
Brokered by BERKSHIRE HATHAWAY;Pending;750000;4;3.0;2184.207862;116-46 233rd St;Cambria Heights, NY 11411;116-46 233rd StCambria Heights, NY 11411;United States;New York;Queens County;Queens;233rd Street;116-46 233rd St, Jamaica, NY 11411, USA;40.6921975;-73.7287999
Brokered by Keller Williams Realty NYC Grp;Multi-family home for sale;1250000;9;3.0;3234.0;1847 Barnes Ave;Bronx, NY 10462;1847 Barnes AveBronx, NY 10462;United States;New York;Bronx County;The Bronx;Barnes Avenue;1847 Barnes Ave, Bronx, NY 10462, USA;40.8473243;-73.8633392
Brokered by Serhant;Condo for sale;999000;2;2.0;1262.0;775 Riverside Dr Apt 5H;New York, NY 10032;775 Riverside Dr Apt 5HNew York, NY 10032;New York;New York County;New York;Manhattan;775;775 Riverside Dr #5h, New York, NY 10032, USA;40.834716;-73.9481517
Brokered by Pin It Realty Llc;House for sale;1350000;6;4.0;2184.207862;380 Beach 13th St;Far Rockaway, NY 11691;380 Beach 13th StFar Rockaway, NY 11691;United States;New York;Queens County;Queens;Beach 13th Street;380 Beach 13th St, Far Rockaway, NY 11691, USA;40.5997298;-73.7467974
Brokered by Island Advantage Realty Llc;House for sale;669900;3;2.0;1376.0;181-10 93rd Ave;Hollis, NY 11423;181-10 93rd AveHollis, NY 11423;United States;New York;Queens County;Queens;93rd Avenue;181-10 93rd Ave, Jamaica, NY 11423, USA;40.7077562;-73.7787888
Brokered by Oxford Property Group;Co-op for sale;399000;3;1.0;2184.207862;36 W 35th St Apt 5D;New York, NY 10001;36 W 35th St Apt 5DNew York, NY 10001;New York;New York County;New York;Manhattan;36;36 W 35th St #5d, New York, NY 10001, USA;40.7497074;-73.9859244
Brokered by EXIT REALTY PRIME;Pending;779000;5;3.0;2000.0;193-06 122nd Ave;Jamaica, NY 11413;193-06 122nd AveJamaica, NY 11413;United States;New York;Queens County;Queens;122nd Avenue;193-06 122nd Ave, Jamaica, NY 11413, USA;40.6857875;-73.7538304
Brokered by Winzone Realty Inc;Multi-family home for sale;1200000;5;2.0;2184.207862;2546 E 29th St;Brooklyn, NY 11235;2546 E 29th StBrooklyn, NY 11235;United States;New York;Kings County;Brooklyn;East 29th Street;2546 E 29th St, Brooklyn, NY 11235, USA;40.590395;-73.9412863
Brokered by COMPASS;Co-op for sale;895000;2;1.0;2184.207862;55 E 65th St Apt 4A;Manhattan, NY 10065;55 E 65th St Apt 4AManhattan, NY 10065;New York;New York County;New York;Manhattan;55;55 E 65th St #4a, New York, NY 10065, USA;40.7669715;-73.9674377
Brokered by Sowae Corp;Condo for sale;369000;3;1.0;2184.207862;720 57th St Apt 4C;Brooklyn, NY 11220;720 57th St Apt 4CBrooklyn, NY 11220;New York;Kings County;Brooklyn;Sunset Park;720;720 57th St #4c, Brooklyn, NY 11220, USA;40.637981;-74.009565
Brokered by RE MAX Edge;Co-op for sale;299000;1;1.0;750.0;7119 Shore Rd Apt 2C;Brooklyn, NY 11209;7119 Shore Rd Apt 2CBrooklyn, NY 11209;New York;Kings County;Brooklyn;Bay Ridge;7119;7119 Shore Rd #2c, Brooklyn, NY 11209, USA;40.636031;-74.0365302
Brokered by Douglas Elliman - 3544 Johnson Ave;Pending;1780000;4;3.0;2184.207862;735 Ladd Rd;Bronx, NY 10471;735 Ladd RdBronx, NY 10471;United States;New York;Bronx County;The Bronx;Ladd Road;735 Ladd Rd, Bronx, NY 10471, USA;40.9055018;-73.909935
